Serial Capture Session Started - 2025-10-19 21:08:44.965
Software: COM7, Machine: COM15, Baud: 19200
================================================================================
*** Forwarding ENABLED - 'R' received from Software ***
[2025-10-19 21:08:49.455] Machine → Software: 45 (E)
[2025-10-19 21:08:49.456] Machine → Software: 36 (6)
[2025-10-19 21:08:49.457] Machine → Software: 31 (1)
[2025-10-19 21:08:49.458] Machine → Software: 32 (2)
[2025-10-19 21:08:49.459] Machine → Software: 30 (0)
[2025-10-19 21:08:49.459] Machine → Software: 34 (4)
[2025-10-19 21:08:49.461] Machine → Software: 35 (5)
[2025-10-19 21:08:49.461] Machine → Software: 4F (O)
[2025-10-19 21:08:49.465] Software → Machine: 54 (T)
[2025-10-19 21:08:49.467] Machine → Software: 54 (T)
[2025-10-19 21:08:49.471] Software → Machine: 72 (r)
[2025-10-19 21:08:49.472] Machine → Software: 72 (r)
[2025-10-19 21:08:49.476] Software → Machine: 4D (M)
[2025-10-19 21:08:49.477] Machine → Software: 4D (M)
[2025-10-19 21:08:49.481] Software → Machine: 45 (E)
[2025-10-19 21:08:49.483] Machine → Software: 45 (E)
[2025-10-19 21:08:49.487] Software → Machine: 4A (J)
[2025-10-19 21:08:49.642] Machine → Software: 4A (J)
[2025-10-19 21:08:49.646] Software → Machine: 30 (0)
[2025-10-19 21:08:49.649] Machine → Software: 30 (0)
[2025-10-19 21:08:49.652] Software → Machine: 35 (5)
[2025-10-19 21:08:49.654] Machine → Software: 35 (5)
*** Baud rate switch sequence detected: "TrMEJ05" ***
*** Switching baud rate from 19200 to 57600 ***
*** Baud rate switch completed successfully - now at 57600 ***
[2025-10-19 21:08:50.479] Machine → Software: 42 4F 53 (BOS)
[2025-10-19 21:08:50.564] Software → Machine: 45 (E)
[2025-10-19 21:08:50.565] Machine → Software: 45 (E)
[2025-10-19 21:08:50.567] Software → Machine: 42 (B)
[2025-10-19 21:08:50.568] Machine → Software: 42 (B)
[2025-10-19 21:08:50.814] Software → Machine: 59 (Y)
[2025-10-19 21:08:50.817] Machine → Software: 59 (Y)
[2025-10-19 21:08:50.819] Software → Machine: 51 (Q)
[2025-10-19 21:08:50.820] Machine → Software: 51 (Q)
[2025-10-19 21:08:50.960] Machine → Software: 4F (O)
[2025-10-19 21:08:50.962] Software → Machine: 52 (R)
[2025-10-19 21:08:50.963] Machine → Software: 52 (R)
[2025-10-19 21:08:50.965] Software → Machine: 32 (2)
[2025-10-19 21:08:50.966] Machine → Software: 32 (2)
[2025-10-19 21:08:50.968] Software → Machine: 30 (0)
[2025-10-19 21:08:50.969] Machine → Software: 30 (0)
[2025-10-19 21:08:50.971] Software → Machine: 30 (0)
[2025-10-19 21:08:50.973] Machine → Software: 30 (0)
[2025-10-19 21:08:50.974] Software → Machine: 31 (1)
[2025-10-19 21:08:50.975] Machine → Software: 31 (1)
[2025-10-19 21:08:50.977] Software → Machine: 30 (0)
[2025-10-19 21:08:50.978] Machine → Software: 30 (0)
[2025-10-19 21:08:50.980] Software → Machine: 30 (0)
[2025-10-19 21:08:50.981] Machine → Software: 30 (0)
[2025-10-19 21:08:50.982] Machine → Software: 35 33 35 32 (5352)
[2025-10-19 21:08:50.983] Machine → Software: 34 44 35 36 33 (4D563)
[2025-10-19 21:08:50.984] Machine → Software: 30 33 33 (033)
[2025-10-19 21:08:51.997] Machine → Software: 32 45 33 30 33 31 32 30 30 30 34 36 37 32 36 39 37 34 37 41 32 30 34 37 36 35 36 37 36 31 37 (2E30312000467269747A20476567617)
[2025-10-19 21:08:53.014] Machine → Software: 35 36 36 32 30 34 31 34 37 30 44 30 30 34 46 36 33 37 34 32 30 4F (5662041470D004F637420O)
[2025-10-19 21:08:53.015] Software → Machine: 52 52 (RR)
[2025-10-19 21:08:53.016] Machine → Software: 52 (R)
[2025-10-19 21:08:53.017] Machine → Software: 3F (?)
[2025-10-19 21:08:53.028] Software → Machine: 46 (F)
[2025-10-19 21:08:53.029] Machine → Software: 51 (Q)
[2025-10-19 21:08:53.078] Software → Machine: 52 (R)
[2025-10-19 21:08:53.079] Machine → Software: 52 (R)
[2025-10-19 21:08:53.699] Software → Machine: 02 66 03 6B (.f.k)
[2025-10-19 21:08:53.700] Machine → Software: 3F (?)
[2025-10-19 21:08:53.701] Machine → Software: 51 51 51 (QQQ)
[2025-10-19 21:08:53.702] Software → Machine: 46 (F)
[2025-10-19 21:08:53.704] Machine → Software: 51 (Q)
[2025-10-19 21:08:53.768] Software → Machine: 52 (R)
[2025-10-19 21:08:53.770] Machine → Software: 52 (R)
[2025-10-19 21:08:53.789] Software → Machine: 46 (F)
[2025-10-19 21:08:53.790] Machine → Software: 46 (F)
[2025-10-19 21:08:53.809] Software → Machine: 3F (?)
[2025-10-19 21:08:53.810] Machine → Software: 3F (?)
[2025-10-19 21:08:53.829] Software → Machine: 52 (R)
[2025-10-19 21:08:53.830] Machine → Software: 52 (R)
[2025-10-19 21:08:53.832] Software → Machine: 46 (F)
[2025-10-19 21:08:53.833] Machine → Software: 46 (F)
[2025-10-19 21:08:53.835] Software → Machine: 46 (F)
[2025-10-19 21:08:53.836] Machine → Software: 46 (F)
[2025-10-19 21:08:53.838] Software → Machine: 46 (F)
[2025-10-19 21:08:53.840] Machine → Software: 46 (F)
[2025-10-19 21:08:53.841] Software → Machine: 44 (D)
[2025-10-19 21:08:53.843] Machine → Software: 44 (D)
[2025-10-19 21:08:53.844] Software → Machine: 32 (2)
[2025-10-19 21:08:53.845] Machine → Software: 32 (2)
[2025-10-19 21:08:53.847] Software → Machine: 34 (4)
[2025-10-19 21:08:53.848] Machine → Software: 34 (4)
[2025-10-19 21:08:53.849] Machine → Software: 31 43 33 43 (1C3C)
[2025-10-19 21:08:53.850] Machine → Software: 30 30 30 31 42 (0001B)
[2025-10-19 21:08:55.545] Machine → Software: 33 34 32 30 (3420)
[2025-10-19 21:08:57.573] Machine → Software: 30 30 32 34 30 38 30 30 30 30 32 30 31 44 43 30 30 30 32 34 34 38 30 30 30 30 32 38 45 39 38 30 30 30 31 46 44 37 41 30 30 30 32 33 38 31 32 30 31 30 30 4F (0024080000201DC0002448000028E980001FD7A000238120100O)
[2025-10-19 21:08:57.574] Software → Machine: 52 52 02 66 03 6B 52 (RR.f.kR)
[2025-10-19 21:08:57.576] Machine → Software: 52 (R)
[2025-10-19 21:08:57.577] Machine → Software: 3F 51 51 21 52 (?QQ!R)
[2025-10-19 21:08:57.635] Software → Machine: 52 (R)
[2025-10-19 21:08:57.636] Machine → Software: 3F (?)
[2025-10-19 21:08:57.704] Software → Machine: 52 (R)
[2025-10-19 21:08:57.706] Machine → Software: 52 (R)
[2025-10-19 21:08:57.724] Software → Machine: 46 (F)
[2025-10-19 21:08:57.726] Machine → Software: 46 (F)
[2025-10-19 21:08:57.744] Software → Machine: 3F (?)
[2025-10-19 21:08:57.746] Machine → Software: 3F (?)
[2025-10-19 21:08:57.764] Software → Machine: 52 (R)
[2025-10-19 21:08:57.766] Machine → Software: 52 (R)
[2025-10-19 21:08:57.767] Software → Machine: 46 (F)
[2025-10-19 21:08:57.769] Machine → Software: 46 (F)
[2025-10-19 21:08:57.770] Software → Machine: 46 (F)
[2025-10-19 21:08:57.771] Machine → Software: 46 (F)
[2025-10-19 21:08:57.773] Software → Machine: 46 (F)
[2025-10-19 21:08:57.774] Machine → Software: 46 (F)
[2025-10-19 21:08:57.776] Software → Machine: 44 (D)
[2025-10-19 21:08:57.777] Machine → Software: 44 (D)
[2025-10-19 21:08:57.779] Software → Machine: 32 (2)
[2025-10-19 21:08:57.780] Machine → Software: 32 (2)
[2025-10-19 21:08:57.782] Software → Machine: 34 (4)
[2025-10-19 21:08:57.783] Machine → Software: 34 (4)
[2025-10-19 21:08:57.784] Machine → Software: 31 43 33 43 (1C3C)
[2025-10-19 21:08:57.784] Machine → Software: 30 30 30 (000)
[2025-10-19 21:08:57.785] Machine → Software: 31 42 33 34 32 (1B342)
[2025-10-19 21:08:57.786] Machine → Software: 30 30 30 32 (0002)
[2025-10-19 21:08:57.802] Machine → Software: 34 30 38 30 30 (40800)
