Serial Capture Session Started - 2025-10-15 23:19:33.068
Software: COM7, Machine: COM15, Baud: 57600
================================================================================
[2025-10-15 23:19:59.886] Software → Machine: 46 (F)
[2025-10-15 23:19:59.887] Machine → Software: 46 (F)
[2025-10-15 23:19:59.889] Software → Machine: 45 (E)
[2025-10-15 23:19:59.890] Machine → Software: 45 (E)
[2025-10-15 23:19:59.892] Software → Machine: 44 (D)
[2025-10-15 23:19:59.893] Machine → Software: 44 (D)
[2025-10-15 23:19:59.895] Software → Machine: 30 (0)
[2025-10-15 23:19:59.896] Machine → Software: 30 (0)
[2025-10-15 23:19:59.898] Software → Machine: 30 (0)
[2025-10-15 23:19:59.899] Machine → Software: 30 (0)
[2025-10-15 23:19:59.901] Software → Machine: 30 (0)
[2025-10-15 23:19:59.902] Machine → Software: 30 (0)
[2025-10-15 23:19:59.904] Software → Machine: 36 (6)
[2025-10-15 23:19:59.905] Machine → Software: 36 (6)
[2025-10-15 23:19:59.907] Software → Machine: 31 (1)
[2025-10-15 23:19:59.908] Machine → Software: 31 (1)
[2025-10-15 23:19:59.910] Software → Machine: 3F (?)
[2025-10-15 23:20:00.222] Machine → Software: 3F (?)
[2025-10-15 23:20:00.223] Software → Machine: 52 (R)
[2025-10-15 23:20:00.225] Machine → Software: 52 (R)
[2025-10-15 23:20:00.227] Software → Machine: 46 (F)
[2025-10-15 23:20:00.228] Machine → Software: 46 (F)
[2025-10-15 23:20:00.230] Software → Machine: 46 (F)
[2025-10-15 23:20:00.231] Machine → Software: 46 (F)
[2025-10-15 23:20:00.233] Software → Machine: 46 (F)
[2025-10-15 23:20:00.234] Machine → Software: 46 (F)
[2025-10-15 23:20:00.236] Software → Machine: 45 (E)
[2025-10-15 23:20:00.237] Machine → Software: 45 (E)
[2025-10-15 23:20:00.238] Software → Machine: 44 (D)
[2025-10-15 23:20:00.240] Machine → Software: 44 (D)
[2025-10-15 23:20:00.241] Software → Machine: 30 (0)
[2025-10-15 23:20:00.242] Machine → Software: 30 (0)
[2025-10-15 23:20:00.243] Machine → Software: 30 30 30 32 (0002)
[2025-10-15 23:20:00.254] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:01.908] Machine → Software: 30 30 34 30 30 30 30 30 30 30 38 33 30 30 36 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 30 30 30 30 30 31 36 30 30 (004000000083006300000000000000000000000003000001600)
[2025-10-15 23:20:03.952] Machine → Software: 30 30 30 30 30 4F (00000O)
[2025-10-15 23:20:03.954] Software → Machine: 52 52 02 66 03 6B 52 (RR.f.kR)
[2025-10-15 23:20:03.955] Machine → Software: 52 3F (R?)
[2025-10-15 23:20:03.957] Machine → Software: 21 51 51 21 (!QQ!)
[2025-10-15 23:20:03.991] Software → Machine: 52 (R)
[2025-10-15 23:20:03.992] Machine → Software: 52 (R)
[2025-10-15 23:20:04.011] Software → Machine: 46 (F)
[2025-10-15 23:20:04.013] Machine → Software: 46 (F)
[2025-10-15 23:20:04.031] Software → Machine: 3F (?)
[2025-10-15 23:20:04.033] Machine → Software: 3F (?)
[2025-10-15 23:20:04.051] Software → Machine: 52 (R)
[2025-10-15 23:20:04.053] Machine → Software: 52 (R)
[2025-10-15 23:20:04.054] Software → Machine: 46 (F)
[2025-10-15 23:20:04.056] Machine → Software: 46 (F)
[2025-10-15 23:20:04.058] Software → Machine: 46 (F)
[2025-10-15 23:20:04.059] Machine → Software: 46 (F)
[2025-10-15 23:20:04.060] Software → Machine: 46 (F)
[2025-10-15 23:20:04.061] Machine → Software: 46 (F)
[2025-10-15 23:20:04.063] Software → Machine: 45 (E)
[2025-10-15 23:20:04.064] Machine → Software: 45 (E)
[2025-10-15 23:20:04.066] Software → Machine: 44 (D)
[2025-10-15 23:20:04.067] Machine → Software: 44 (D)
[2025-10-15 23:20:04.069] Software → Machine: 30 (0)
[2025-10-15 23:20:04.070] Machine → Software: 30 (0)
[2025-10-15 23:20:04.071] Machine → Software: 30 30 30 32 30 30 (000200)
[2025-10-15 23:20:04.072] Machine → Software: 30 30 30 30 34 (00004)
[2025-10-15 23:20:05.463] Machine → Software: 30 30 30 30 30 (00000)
[2025-10-15 23:20:07.502] Machine → Software: 30 30 38 33 30 30 36 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 30 30 30 30 30 31 36 30 30 30 30 30 30 30 4F (008300630000000000000000000000000300000160000000O)
[2025-10-15 23:20:07.504] Software → Machine: 57 52 (WR)
[2025-10-15 23:20:07.506] Machine → Software: 57 (W)
[2025-10-15 23:20:07.507] Machine → Software: 3F (?)
[2025-10-15 23:20:07.566] Software → Machine: 52 (R)
[2025-10-15 23:20:07.568] Machine → Software: 52 (R)
[2025-10-15 23:20:08.188] Software → Machine: 02 66 03 (.f.)
[2025-10-15 23:20:08.189] Machine → Software: 3F (?)
[2025-10-15 23:20:08.189] Software → Machine: 6B (k)
[2025-10-15 23:20:08.190] Machine → Software: 51 51 (QQ)
[2025-10-15 23:20:08.191] Software → Machine: 46 (F)
[2025-10-15 23:20:08.193] Machine → Software: 51 51 (QQ)
[2025-10-15 23:20:08.257] Software → Machine: 52 (R)
[2025-10-15 23:20:08.258] Machine → Software: 52 (R)
[2025-10-15 23:20:08.277] Software → Machine: 46 (F)
[2025-10-15 23:20:08.281] Machine → Software: 46 (F)
[2025-10-15 23:20:08.297] Software → Machine: 3F (?)
[2025-10-15 23:20:08.299] Machine → Software: 3F (?)
[2025-10-15 23:20:08.317] Software → Machine: 57 (W)
[2025-10-15 23:20:08.319] Machine → Software: 57 (W)
[2025-10-15 23:20:08.320] Software → Machine: 46 (F)
[2025-10-15 23:20:08.322] Machine → Software: 46 (F)
[2025-10-15 23:20:08.323] Software → Machine: 46 (F)
[2025-10-15 23:20:08.325] Machine → Software: 46 (F)
[2025-10-15 23:20:08.327] Software → Machine: 46 (F)
[2025-10-15 23:20:08.328] Machine → Software: 46 (F)
[2025-10-15 23:20:08.329] Software → Machine: 45 (E)
[2025-10-15 23:20:08.330] Machine → Software: 45 (E)
[2025-10-15 23:20:08.332] Software → Machine: 44 (D)
[2025-10-15 23:20:08.333] Machine → Software: 44 (D)
[2025-10-15 23:20:08.335] Software → Machine: 30 (0)
[2025-10-15 23:20:08.336] Machine → Software: 30 (0)
[2025-10-15 23:20:08.337] Software → Machine: 30 (0)
[2025-10-15 23:20:08.339] Machine → Software: 30 (0)
[2025-10-15 23:20:08.341] Software → Machine: 30 (0)
[2025-10-15 23:20:08.342] Machine → Software: 30 (0)
[2025-10-15 23:20:08.343] Software → Machine: 32 (2)
[2025-10-15 23:20:08.345] Machine → Software: 32 (2)
[2025-10-15 23:20:08.347] Software → Machine: 31 (1)
[2025-10-15 23:20:08.348] Machine → Software: 31 (1)
[2025-10-15 23:20:08.349] Software → Machine: 3F (?)
[2025-10-15 23:20:08.662] Machine → Software: 3F (?)
[2025-10-15 23:20:08.663] Software → Machine: 52 (R)
[2025-10-15 23:20:08.665] Machine → Software: 52 (R)
[2025-10-15 23:20:08.667] Software → Machine: 46 (F)
[2025-10-15 23:20:08.668] Machine → Software: 46 (F)
[2025-10-15 23:20:08.670] Software → Machine: 46 (F)
[2025-10-15 23:20:08.671] Machine → Software: 46 (F)
[2025-10-15 23:20:08.672] Software → Machine: 46 (F)
[2025-10-15 23:20:08.674] Machine → Software: 46 (F)
[2025-10-15 23:20:08.675] Software → Machine: 45 (E)
[2025-10-15 23:20:08.676] Machine → Software: 45 (E)
[2025-10-15 23:20:08.678] Software → Machine: 44 (D)
[2025-10-15 23:20:08.679] Machine → Software: 44 (D)
[2025-10-15 23:20:08.681] Software → Machine: 30 (0)
[2025-10-15 23:20:08.682] Machine → Software: 30 (0)
[2025-10-15 23:20:08.682] Machine → Software: 30 30 30 (000)
[2025-10-15 23:20:08.683] Machine → Software: 32 30 30 30 (2000)
[2025-10-15 23:20:08.684] Machine → Software: 30 30 30 34 (0004)
[2025-10-15 23:20:08.685] Machine → Software: 30 30 30 (000)
[2025-10-15 23:20:08.698] Machine → Software: 30 30 30 30 (0000)
[2025-10-15 23:20:08.724] Machine → Software: 38 33 30 30 36 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 30 30 30 30 30 31 32 30 30 30 30 30 30 30 4F (8300630000000000000000000000000300000120000000O)
[2025-10-15 23:20:08.731] Software → Machine: 52 (R)
[2025-10-15 23:20:08.732] Machine → Software: 52 (R)
[2025-10-15 23:20:08.736] Software → Machine: 30 (0)
[2025-10-15 23:20:08.737] Machine → Software: 30 (0)
[2025-10-15 23:20:08.739] Software → Machine: 32 (2)
[2025-10-15 23:20:08.741] Machine → Software: 32 (2)
[2025-10-15 23:20:08.742] Software → Machine: 34 (4)
[2025-10-15 23:20:08.744] Machine → Software: 34 (4)
[2025-10-15 23:20:08.746] Software → Machine: 30 (0)
[2025-10-15 23:20:08.747] Machine → Software: 30 (0)
[2025-10-15 23:20:08.749] Software → Machine: 38 (8)
[2025-10-15 23:20:08.750] Machine → Software: 38 (8)
[2025-10-15 23:20:08.751] Software → Machine: 30 (0)
[2025-10-15 23:20:08.753] Machine → Software: 30 (0)
[2025-10-15 23:20:08.754] Machine → Software: 32 44 30 30 30 30 (2D0000)
[2025-10-15 23:20:08.755] Machine → Software: 30 30 30 30 30 30 30 (0000000)
[2025-10-15 23:20:08.757] Machine → Software: 30 30 30 30 30 30 (000000)
[2025-10-15 23:20:08.782] Machine → Software: 30 30 30 30 30 30 30 30 30 30 30 30 30 30 (00000000000000)
[2025-10-15 23:20:08.810] Machine → Software: 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 39 30 38 46 39 33 4F (0000000000000000000000000908F93O)
[2025-10-15 23:20:08.818] Software → Machine: 52 (R)
[2025-10-15 23:20:08.823] Machine → Software: 52 (R)
[2025-10-15 23:20:08.823] Software → Machine: 30 (0)
[2025-10-15 23:20:08.825] Machine → Software: 30 (0)
[2025-10-15 23:20:08.827] Software → Machine: 32 (2)
[2025-10-15 23:20:08.828] Machine → Software: 32 (2)
[2025-10-15 23:20:08.830] Software → Machine: 34 (4)
[2025-10-15 23:20:08.831] Machine → Software: 34 (4)
[2025-10-15 23:20:08.833] Software → Machine: 30 (0)
[2025-10-15 23:20:08.834] Machine → Software: 30 (0)
[2025-10-15 23:20:08.836] Software → Machine: 30 (0)
[2025-10-15 23:20:08.837] Machine → Software: 30 (0)
[2025-10-15 23:20:08.839] Software → Machine: 34 (4)
[2025-10-15 23:20:08.840] Machine → Software: 34 (4)
[2025-10-15 23:20:08.841] Machine → Software: 30 30 46 46 46 45 44 (00FFFED)
[2025-10-15 23:20:08.842] Machine → Software: 34 30 30 30 32 (40002)
