Serial Capture Session Started - 2025-10-14 21:29:15.871
Port 1: COM7, Port 2: COM15, Baud: 57600
================================================================================
ERROR in data transfer: The port is closed.
ERROR in data transfer: The port is closed.
ERROR in data transfer: The port is closed.
[2025-10-14 21:29:18.765] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.766] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.821] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.822] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.876] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.878] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.932] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.933] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:18.988] COM7 → COM15: 00 (.)
[2025-10-14 21:29:18.989] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.043] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.045] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.099] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.100] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.154] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.156] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.210] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.211] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.265] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.267] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.321] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.322] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.377] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.378] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.433] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.434] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.489] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.491] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.543] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.545] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.599] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.601] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.655] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.656] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.710] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.712] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.766] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.768] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.822] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.823] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.878] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.879] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.933] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.934] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:19.989] COM7 → COM15: 00 (.)
[2025-10-14 21:29:19.990] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.044] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.045] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.100] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.101] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.155] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.157] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.211] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.212] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.266] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.268] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.322] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.324] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.378] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.379] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.435] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.435] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.489] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.490] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.544] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.546] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.600] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.602] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.656] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.657] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.711] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.713] COM15 → COM7: 51 (Q)
[2025-10-14 21:29:20.767] COM7 → COM15: 00 (.)
[2025-10-14 21:29:20.768] COM15 → COM7: 51 (Q)
