Serial Capture Session Started - 2025-10-14 21:22:17.899
Port 1: COM7, Port 2: COM15, Baud: 57600
================================================================================
[2025-10-14 21:22:31.764] COM15 → COM7: 3F (?)

[2025-10-14 21:22:31.766] COM7 → COM15: 57 (W)
[2025-10-14 21:22:31.767] COM15 → COM7: 57 (W)
[2025-10-14 21:22:31.769] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.770] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.772] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.773] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.775] COM7 → COM15: 46 (F)
[2025-10-14 21:22:31.776] COM15 → COM7: 46 (F)
[2025-10-14 21:22:31.777] COM7 → COM15: 45 (E)
[2025-10-14 21:22:31.779] COM15 → COM7: 45 (E)
[2025-10-14 21:22:31.780] COM7 → COM15: 44 (D)
[2025-10-14 21:22:31.781] COM15 → COM7: 44 (D)
[2025-10-14 21:22:31.783] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.785] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.787] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.789] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.790] COM7 → COM15: 30 (0)
[2025-10-14 21:22:31.792] COM15 → COM7: 30 (0)
[2025-10-14 21:22:31.793] COM7 → COM15: 36 (6)
[2025-10-14 21:22:31.794] COM15 → COM7: 36 (6)
[2025-10-14 21:22:31.796] COM7 → COM15: 31 (1)
[2025-10-14 21:22:31.798] COM15 → COM7: 31 (1)
[2025-10-14 21:22:31.800] COM7 → COM15: 3F (?)
[2025-10-14 21:22:32.111] COM15 → COM7: 3F (?)

[2025-10-14 21:22:32.113] COM7 → COM15: 52 (R)
[2025-10-14 21:22:32.115] COM15 → COM7: 52 (R)
[2025-10-14 21:22:32.116] COM7 → COM15: 46 (F)
[2025-10-14 21:22:32.118] COM15 → COM7: 46 (F)
[2025-10-14 21:22:32.119] COM7 → COM15: 46 (F)
[2025-10-14 21:22:32.121] COM15 → COM7: 46 (F)
[2025-10-14 21:22:32.122] COM7 → COM15: 46 (F)
[2025-10-14 21:22:32.124] COM15 → COM7: 46 (F)
[2025-10-14 21:22:32.126] COM7 → COM15: 45 (E)
[2025-10-14 21:22:32.127] COM15 → COM7: 45 (E)
[2025-10-14 21:22:32.128] COM7 → COM15: 44 (D)
[2025-10-14 21:22:32.130] COM15 → COM7: 44 (D)
[2025-10-14 21:22:32.131] COM7 → COM15: 30 (0)
[2025-10-14 21:22:32.132] COM15 → COM7: 30 (0)

[2025-10-14 21:22:32.133] COM15 → COM7: 30 30 30 32 (0002)
[2025-10-14 21:22:32.134] COM15 → COM7: 30 30 30 30 (0000)
[2025-10-14 21:22:32.720] COM15 → COM7: 30 30 34 30 30 30 30 30 30 30 (0040000000)
[2025-10-14 21:22:34.752] COM15 → COM7: 38 33 30 30 36 33 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 33 30 30 30 30 30 31 36 30 30 30 30 30 30 30 4F (8300630000000000000000000000000300000160000000O)
[2025-10-14 21:22:34.756] COM15 → COM7: 57 (W)
[2025-10-14 21:22:34.754] COM7 → COM15: 57 52 (WR)
[2025-10-14 21:22:34.758] COM15 → COM7: 3F (?)
[2025-10-14 21:22:34.810] COM7 → COM15: 52 (R)
[2025-10-14 21:22:34.811] COM15 → COM7: 52 (R)
[2025-10-14 21:22:35.432] COM7 → COM15: 02 66 03 6B (.f.k)
[2025-10-14 21:22:35.433] COM15 → COM7: 3F (?)
[2025-10-14 21:22:35.436] COM15 → COM7: 51 51 21 (QQ!)
[2025-10-14 21:22:35.438] COM7 → COM15: 46 (F)
[2025-10-14 21:22:35.439] COM15 → COM7: 51 (Q)

[2025-10-14 21:22:35.501] COM7 → COM15: 52 (R)
[2025-10-14 21:22:35.502] COM15 → COM7: 52 (R)
[2025-10-14 21:22:35.521] COM7 → COM15: 46 (F)
[2025-10-14 21:22:35.522] COM15 → COM7: 46 (F)
[2025-10-14 21:22:35.540] COM7 → COM15: 3F (?)
[2025-10-14 21:22:35.542] COM15 → COM7: 3F (?)

[2025-10-14 21:22:35.561] COM7 → COM15: 57 (W)
[2025-10-14 21:22:35.562] COM15 → COM7: 57 (W)
[2025-10-14 21:22:35.564] COM7 → COM15: 46 (F)
[2025-10-14 21:22:35.565] COM15 → COM7: 46 (F)
[2025-10-14 21:22:35.567] COM7 → COM15: 46 (F)
[2025-10-14 21:22:35.568] COM15 → COM7: 46 (F)
[2025-10-14 21:22:35.570] COM7 → COM15: 46 (F)
[2025-10-14 21:22:35.571] COM15 → COM7: 46 (F)
[2025-10-14 21:22:35.573] COM7 → COM15: 45 (E)
[2025-10-14 21:22:35.574] COM15 → COM7: 45 (E)
[2025-10-14 21:22:35.576] COM7 → COM15: 44 (D)
[2025-10-14 21:22:35.577] COM15 → COM7: 44 (D)
[2025-10-14 21:22:35.579] COM7 → COM15: 30 (0)
[2025-10-14 21:22:35.580] COM15 → COM7: 30 (0)
[2025-10-14 21:22:35.582] COM7 → COM15: 30 (0)
[2025-10-14 21:22:35.583] COM15 → COM7: 30 (0)
[2025-10-14 21:22:35.585] COM7 → COM15: 30 (0)
[2025-10-14 21:22:35.586] COM15 → COM7: 30 (0)
